곡명,관련설교,유형,주제태그,추천용도,회중숙지도,Youtube 링크,난이도,최근사용,사용횟수,비고,가사링크,기쁨으로찬양번호,조옮김코드
주님 손 잡고 일어서세요,,CCM,,,,,,0,0,,,237,A
주는 땅 위에서,,CCM,,,,,,0,0,,,294,F
주님의 영광이,,CCM,,,,,,0,0,,,316,E
죄악에 썭은,,CCM,,,,,,0,0,,,282,F
죄인들을 위하여,,CCM,,,,,,0,0,,,283,C
주 나의 사랑,,CCM,,,,,,0,0,,,291,E
주님 같은 반석은,,CCM,,,,,,0,0,,,296,A
주께서 전진해 온다,,CCM,,,,,,0,0,,,289,Cm
주 너 맘에 들어가,,CCM,,,,,,0,0,,,293,D
주 앞에 엠드려,,CCM,,,,,,0,0,,,290,C
주님 곰으로,,CCM,,,,,,0,0,,,297,Bb
주께 감사해,,CCM,,,,,,0,0,,,286,E
주님께 맡기세요,,CCM,,,,,,0,0,,,105,Eb
주님은 영광의 왕,,CCM,,,,,,0,0,,,310,G
주님 이곳에,,CCM,,,,,,0,0,,,317,D
주를 높이기 원합니다,,CCM,,,,,,0,0,,,321,G
주님여 이 손을,,CCM,,,,,,0,0,,,307,G
주님 큰 영광 받으소서,,CCM,,,,,,0,0,,,319,A
주님의 손으로,,CCM,,,,,,0,0,,,314,G
주님과 같이,,CCM,,,,,,0,0,,,299,G
주님 한 분만으로,,CCM,,,,,,0,0,,,320,G
주께 두 손 모아,,CCM,,,,,,0,0,,,287,D
주께서 왕위에,,CCM,,,,,,0,0,,,288,F
종소리 울려라,,CCM,,,,,,0,0,,,279,Bb
주를 찬양하리,,CCM,,,,,,0,0,,,322,G
주님께서 내 곳에,,CCM,,,,,,0,0,,,301,E
주기도문 송,,CCM,,,,,,0,0,,,390,A
주께 가오니,올빼미의 바닥에서 독수리 날개로 (https://app.notion.com/p/33dcfb078efd81c78befe76d6df3423d?pvs=21),CCM,치유,"예배전찬양, 응답찬양",보통,,보통,1,1,,,285,G
